,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,36.62827083333334,20.270108333333333,38.08222916666667,74.26617499999999
std,0.6579975554858558,2.8620585563414904,1.0972325818519681,10.676877459145473
min,35.7907,17.4873,36.6052,55.9312
25%,36.125975,18.623925,36.89215,64.95375
50%,36.5788,19.483,38.11465,77.08305
75%,37.024375,20.703475,38.756125,83.087
max,37.9956,30.3542,40.8047,88.3157
