,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,0.18745,0.15959166666666666,0.08030833333333333,72.74538333333334
std,0.0034881164719285287,0.004318807873623851,0.0021258076044210795,28.834354484442553
min,0.1817,0.1534,0.0752,51.0911
25%,0.18465,0.15537499999999999,0.0787,57.643775000000005
50%,0.1886,0.1599,0.08035,68.8574
75%,0.1904,0.16165000000000002,0.082,76.20085
max,0.1919,0.169,0.0834,201.2077
