dataset,competence,distance,mean,median,std,cv,duration
triazines,knn,Braycurtis,0.0155254496651232,0.0140228499160448,0.0093765971054516,60.39501146633742,18.291903018951416
triazines,cluster,Braycurtis,0.0152507837747564,0.0130867231404913,0.0081260756006318,53.28300316002379,20.50382351875305
triazines,output_profiles,Braycurtis,0.0162675268430506,0.0141381463105967,0.010125769503292,62.24529149996566,23.261401414871216
triazines,knn,Canberra,0.0152338327712292,0.0129267202338357,0.0087626903773458,57.52124569658654,19.19625473022461
triazines,cluster,Canberra,0.0160337450828942,0.0126044537763118,0.0095628390597472,59.6419552032755,22.40639901161194
triazines,output_profiles,Canberra,0.0165195633920553,0.0137505954072571,0.0105392535100964,63.79862021755961,24.48808002471924
triazines,knn,Chebyshev,0.0154246336504436,0.0135717997866963,0.0088444065600656,57.33949188356435,18.27190947532653
triazines,cluster,Chebyshev,0.0155151686158502,0.0136299385627737,0.0081148061442167,52.302403829029295,19.83916139602661
triazines,output_profiles,Chebyshev,0.0151450548744551,0.013513399571864,0.0076645798018525,50.60780476127677,22.832266569137573
triazines,knn,Cityblock,0.015283923195256,0.0129145803749765,0.0088366856469704,57.81686765943235,20.202905654907227
triazines,cluster,Cityblock,0.0161455240701077,0.0137456728308173,0.0097428301804549,60.343845998118006,20.804749250411987
triazines,output_profiles,Cityblock,0.016299358058865,0.0134237323488948,0.010054662357248,61.68747456762205,23.343939065933228
triazines,knn,Cosine,0.0162191706995369,0.0135223278425303,0.0096219969427874,59.324839235227934,20.00871992111206
triazines,cluster,Cosine,0.0158498485861454,0.0126652973209969,0.0093846813470995,59.20991166630301,21.732009887695312
triazines,output_profiles,Cosine,0.0161152033125351,0.0134292958686523,0.0095295261065095,59.1337628306373,23.74047827720642
triazines,knn,Euclidean,0.016103334899707,0.0128146831229092,0.0093981936753811,58.36178489681721,19.024138689041138
triazines,cluster,Euclidean,0.0152721926985178,0.0125148591542105,0.009084336718909,59.48285814774076,20.097034215927124
triazines,output_profiles,Euclidean,0.0156930518200411,0.0130905345530015,0.0092306213892484,58.81979805521487,23.48375988006592
triazines,knn,Minkowski,0.0152576617349709,0.0134554844565821,0.0083777716857295,54.90862119801443,18.965202569961548
triazines,cluster,Minkowski,0.0149542046478252,0.0125319487542595,0.0089135014207549,59.60531924411797,21.64996862411499
triazines,output_profiles,Minkowski,0.0157690606828294,0.0132801703113274,0.0091387307595351,57.95355185287696,22.92959785461425
triazines,knn,Sqeuclidean,0.0157628473074595,0.013108201426199,0.009033417772711,57.30828698972466,18.991491079330444
triazines,cluster,Sqeuclidean,0.0157722596115916,0.0129878718514878,0.0089321172177114,56.631817112285134,20.718905210494995
triazines,output_profiles,Sqeuclidean,0.0156924074679786,0.0127022082206992,0.0095474034905876,60.84090991181368,21.8185133934021
