dataset,competence,distance,mean,median,std,cv,duration
liver,knn,Braycurtis,9.574256246879544,8.65589848096334,4.149370982193561,43.338833588728434,38.44522142410278
liver,cluster,Braycurtis,9.627624074032978,8.263655181675693,4.242694123199477,44.067924656952535,44.69901204109192
liver,output_profiles,Braycurtis,9.901461836220207,8.54843239623944,4.056386396241503,40.96755068431381,41.98144483566284
liver,knn,Canberra,9.677769897109805,8.323248601856607,4.118380372629685,42.55505572476578,46.42918229103088
liver,cluster,Canberra,9.677969076868528,8.368376165164383,4.242294558713218,43.83455376864963,50.38841533660889
liver,output_profiles,Canberra,10.032544616947025,8.4995170452881,4.331870658417029,43.178184835576126,47.9523868560791
liver,knn,Chebyshev,9.47488963014149,8.143027720245062,4.178289234047308,44.09855309296002,35.984944581985474
liver,cluster,Chebyshev,9.556794781060963,8.094703549886049,4.030609624252522,42.17532882719343,48.87281775474548
liver,output_profiles,Chebyshev,9.664816167936143,8.189659768469472,4.316010641846292,44.65693466746969,43.391613721847534
liver,knn,Cityblock,9.579826273734684,8.427877324197691,4.167736012986896,43.50534022118658,36.1598961353302
liver,cluster,Cityblock,9.588327460527442,7.944975723236013,4.276523092371267,44.60134585491119,48.19172239303589
liver,output_profiles,Cityblock,9.580029009454996,8.045268583916474,4.311588954659887,45.00601146828021,44.6176962852478
liver,knn,Cosine,9.742683501909802,8.510939718720039,4.181854653892996,42.92302683416998,39.82161736488342
liver,cluster,Cosine,9.669724249602954,8.254003409683182,4.15259325343837,42.944277895089705,50.39248251914978
liver,output_profiles,Cosine,9.788946646491649,8.151864010218013,4.195257315320677,42.85708633241202,45.73010730743408
liver,knn,Euclidean,9.869573656324576,8.452702080048931,4.0178897819426425,40.70986166021383,38.04491567611694
liver,cluster,Euclidean,9.65850382265224,8.285576104054037,4.141274751673215,42.8769799931188,49.62382698059082
liver,output_profiles,Euclidean,9.634235646215313,8.179807473152497,4.430417680860784,45.98618762871156,44.58637595176697
liver,knn,Minkowski,9.661165844281182,8.4807351463053,4.237489690574407,43.8610594091265,35.77084755897522
liver,cluster,Minkowski,9.58854035463013,8.269386281883637,4.044132464473874,42.17672674778948,46.23650503158569
liver,output_profiles,Minkowski,9.30106706785531,7.943776311369638,4.337500782865126,46.63444259912525,46.24570441246033
liver,knn,Sqeuclidean,9.907883299210935,8.64848953543987,4.114236801286417,41.524881521505954,35.761335372924805
liver,cluster,Sqeuclidean,9.733868143862772,8.162438322115111,4.349737644482137,44.68663002410463,47.5839626789093
liver,output_profiles,Sqeuclidean,9.78482090711834,8.39344627970568,4.394103743725782,44.907349714792666,44.4976921081543
