dataset,competence,distance,mean,median,std,cv,duration
yatch,knn,Braycurtis,0.8796713051084953,0.7973303364317247,0.608548818008995,69.17911434361712,33.48886013031006
yatch,cluster,Braycurtis,0.9021654332714576,0.8030669607635761,0.6245554909353617,69.22848824639412,39.28061532974243
yatch,output_profiles,Braycurtis,2.0213354510228347,0.9396442008440218,3.3806359237306647,167.24764422550436,36.47035002708435
yatch,knn,Canberra,0.8841420515389075,0.8121324429490833,0.5938256119442064,67.16405026891479,37.0357723236084
yatch,cluster,Canberra,0.9826235083340537,0.8932020053295082,0.6538720685220556,66.54349941521698,38.62002682685852
yatch,output_profiles,Canberra,0.9773234713978384,0.8069218002552303,0.7594485700513406,77.70698159588069,37.29882264137268
yatch,knn,Chebyshev,1.0348277279917475,0.7882030343315365,0.7795689759026635,75.33321294120563,31.62725687026977
yatch,cluster,Chebyshev,0.8940676751450702,0.7392580523404506,0.6141426337665523,68.69084419889158,39.10395693778992
yatch,output_profiles,Chebyshev,1.1257474977775954,0.9443563946599276,0.8866138947805916,78.75779395742903,38.230199337005615
yatch,knn,Cityblock,1.0079422490935774,0.7766774827014309,0.7148845675912441,70.92515153860508,30.876425981521606
yatch,cluster,Cityblock,0.8757852571433823,0.6797039121116496,0.620759830140815,70.88036993972658,41.152469635009766
yatch,output_profiles,Cityblock,1.2423606469591095,0.8640143343112348,1.6891194531585367,135.96047631522666,36.532527685165405
yatch,knn,Cosine,0.953610396749528,0.7773443373497222,0.6575655882846388,68.9553711375226,33.76177215576172
yatch,cluster,Cosine,0.9304629559761294,0.7376510640780662,0.7637206728503859,82.07964303631867,42.72106671333313
yatch,output_profiles,Cosine,1.1082853114875957,0.967760349625798,0.8297857067617336,74.87112733163936,40.78943705558777
yatch,knn,Euclidean,0.9854673425241096,0.8668607245886647,0.6397582644102944,64.91927604335022,34.941269636154175
yatch,cluster,Euclidean,0.8847410613633316,0.6959588276562746,0.5989123929880995,67.69352290095051,43.26202201843262
yatch,output_profiles,Euclidean,0.9581533072093562,0.9307071280161832,0.6829317612247447,71.27583405350856,40.14943957328797
yatch,knn,Minkowski,1.0706891712718156,0.9040118544744478,0.738882993121194,69.01003698800031,33.03201627731323
yatch,cluster,Minkowski,0.8938792042434717,0.7378058115912589,0.6944984529635972,77.69488871277423,44.64233994483948
yatch,output_profiles,Minkowski,1.0545651299370808,0.8622349571628649,0.8417717010224255,79.8216892561817,38.85601162910461
yatch,knn,Sqeuclidean,1.338553788078514,0.9129512438584706,1.7303064325028383,129.26685859868826,31.12549734115601
yatch,cluster,Sqeuclidean,0.9036172588558072,0.7927588793135936,0.6496675717818822,71.89632174627947,39.954636335372925
yatch,output_profiles,Sqeuclidean,0.8849047201251865,0.7140376971745531,0.6334479436179061,71.58374559560411,37.64569306373596
