,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,1.9438000000000002,0.7559,3.009216666666667,176.55190000000002
std,0.11256150396078157,0.08852095797041515,0.17854358052007227,35.150739013494196
min,1.7487,0.5827,2.7625,120.3627
25%,1.85555,0.680475,2.878575,150.894275
50%,1.92165,0.753,2.95385,178.2619
75%,2.037075,0.827425,3.1599,211.13885
max,2.1433,0.9361,3.3244,226.381
