,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,5.333383333333333,5.302804166666667,0.71185,2683.4054291666666
std,0.08792613830426907,0.09632529343737857,0.030032634423819402,1032.0018285903266
min,5.2678,5.1858,0.6659,1124.3353
25%,5.28915,5.241275,0.686325,1991.789175
50%,5.29965,5.274699999999999,0.7101500000000001,2471.9199
75%,5.3279250000000005,5.33605,0.731425,3543.591875
max,5.6569,5.6,0.7905,4678.3784
