,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,2.125929166666667,1.5505416666666665,1.5837166666666667,9.812858333333333
std,0.2648971375084014,0.27909948345825836,0.0912377289743985,0.5760695156698173
min,1.8546,1.2228,1.3613,8.8656
25%,1.96485,1.3560750000000001,1.5281500000000001,9.250875
50%,2.02405,1.51575,1.59395,10.003
75%,2.2291,1.6121500000000002,1.64015,10.174725
max,2.9757,2.4675,1.7343,11.0654
