competence,distance,mean,median,std,cv,duration
knn,Braycurtis,0.15133704380235974,0.12258939413659714,0.09771738228115422,64.56937430915414,11.298442363739014
cluster,Braycurtis,0.15320790927066028,0.1265086282350939,0.09588524744522309,62.58505053797857,9.305305242538452
output_profiles,Braycurtis,0.16310594953638585,0.1314603565619261,0.1092483206546091,66.97997281223506,10.370840072631836
knn,Canberra,0.1429583722508619,0.11165639507376199,0.09548209659886572,66.79013974173876,10.5123929977417
cluster,Canberra,0.15455160951886435,0.13478678948282063,0.1005870326277482,65.08313497406229,9.422641277313232
output_profiles,Canberra,0.1602117241338581,0.13053931488888906,0.10950578658345653,68.35066982486477,10.783052921295166
knn,Chebyshev,0.1532029841448368,0.12766766793410544,0.09183564122448139,59.94376789531772,10.11424732208252
cluster,Chebyshev,0.15947081274519687,0.14004396758003376,0.09479840763306503,59.44561641165919,9.4213228225708
output_profiles,Chebyshev,0.16323526924745774,0.12674396551490746,0.10881579338040903,66.66193763276056,10.868658781051636
knn,Cityblock,0.1437349893634384,0.11805276190903723,0.08886171168468895,61.82329861242022,10.170793056488037
cluster,Cityblock,0.15689075037209438,0.13490015084618773,0.09604256793144422,61.21620790496709,9.47787857055664
output_profiles,Cityblock,0.1660744365319315,0.13066484853315852,0.11048062830404258,66.52476480496759,10.79543662071228
knn,Cosine,0.13563996311134902,0.1139627137417739,0.09278587077547522,68.40599823763283,10.240355014801025
cluster,Cosine,0.1389551907399327,0.11703698045925834,0.09570569950265244,68.87522444683219,9.36285400390625
output_profiles,Cosine,0.16364003305779706,0.12558566004115787,0.12122881725249081,74.08261596334023,10.894768238067627
knn,Euclidean,0.14938332940578727,0.11937628264206486,0.09522041758330915,63.74233186666424,10.212461471557617
cluster,Euclidean,0.15727442592584678,0.14119548823112726,0.0895288812512592,56.92526342043118,9.562206268310547
output_profiles,Euclidean,0.16677562300772358,0.11581702476030425,0.1085792692076857,65.10499990916374,10.709165334701538
knn,Minkowski,0.14363717707084364,0.11732009432106061,0.09178345609959593,63.899512627101544,10.354467630386353
cluster,Minkowski,0.1508194748108502,0.1292867994596718,0.09532991620956387,63.207961922106946,9.673779964447021
output_profiles,Minkowski,0.15631183442763788,0.12629453803583354,0.10403226314866929,66.55431019001277,10.686752080917358
knn,Sqeuclidean,0.13906708903490436,0.11121498771839025,0.09336165131355881,67.13425294328698,10.158145904541016
cluster,Sqeuclidean,0.15147077808262638,0.13489943580386105,0.09477213568002112,62.56793348504719,9.662906408309937
output_profiles,Sqeuclidean,0.1424728235502944,0.10556082342079931,0.09720758459423152,68.22886089564739,10.577919006347656
