dataset,competence,distance,mean,median,std,cv,fit_time,predict_time,duration
liver,knn,Braycurtis,9.700974592902613,8.357278133766496,4.222358868410249,43.52509975131152,1.2818562984466553,37.9143443107605,39.2059965133667
liver,cluster,Braycurtis,9.451637540049692,8.076559393075211,4.218967007452021,44.63741853805621,1.187737226486206,43.44202780723572,44.638076305389404
liver,output_profiles,Braycurtis,9.88356736472618,8.468091350547908,4.207051958001963,42.56612822832233,1.2330164909362793,41.58305382728577,42.82511615753174
liver,knn,Canberra,9.708794245399115,8.76677628737264,4.101207305011769,42.24218992956086,1.2109746932983398,42.417489528656006,43.63724994659424
liver,cluster,Canberra,9.51295218282337,8.14369211864556,4.19801275009065,44.129442358289175,1.160893440246582,45.23643207550049,46.40605044364929
liver,output_profiles,Canberra,9.684233659665553,8.398212636471186,4.252472510977324,43.91129603459179,1.23063325881958,43.30700349807739,44.54674220085144
liver,knn,Chebyshev,9.454259729268495,7.993733205380021,4.138340018850178,43.772226883493644,1.2111849784851074,34.2711181640625,35.491923809051514
liver,cluster,Chebyshev,9.58319207009462,8.446451227454798,4.31099826055629,44.98499277718979,1.220888614654541,45.410650968551636,46.64008283615112
liver,output_profiles,Chebyshev,9.74710309790584,8.369160535619763,4.252757179361205,43.63098591082829,1.177628517150879,41.28810095787048,42.47424101829529
liver,knn,Cityblock,9.807250439199816,8.598351627157115,4.327440627006334,44.12491201111221,1.197479486465454,33.73654556274414,34.942490339279175
liver,cluster,Cityblock,9.693697164772384,8.276998898611932,4.0355176002299595,41.63032464945707,1.1977832317352295,44.201406955718994,45.40759754180908
liver,output_profiles,Cityblock,9.517671076812842,8.33526952854736,4.375450740050391,45.971863334402876,1.1935434341430664,40.30634355545044,41.50838232040405
liver,knn,Cosine,9.688724225087062,8.360868572542628,4.25846031882544,43.95274568553605,1.1585185527801514,36.88979649543762,38.05665326118469
liver,cluster,Cosine,9.525853801296353,7.90021060839174,4.098037289365734,43.02015729874041,1.1494107246398926,43.90900683403015,45.06671500205994
liver,output_profiles,Cosine,9.711466241301526,8.236880755383659,4.150819633184825,42.741430902904874,1.1180689334869385,41.59764385223389,42.723949670791626
liver,knn,Euclidean,9.644300810324179,8.32154477014985,4.200600063378769,43.55525761786739,1.1802716255187988,34.66928005218506,35.857948780059814
liver,cluster,Euclidean,9.611424333233163,8.173315088235734,4.204604390131689,43.74590325383452,1.2509071826934814,43.59420943260193,44.85338878631592
liver,output_profiles,Euclidean,9.639145833984871,8.27155448114143,4.352063872849883,45.14989136802714,1.218179702758789,40.2685751914978,41.49520564079285
liver,knn,Minkowski,9.736233419920543,8.268787337249922,4.423208453400152,45.43038629651352,1.274503231048584,36.32212948799133,37.6058931350708
liver,cluster,Minkowski,9.566222539553292,8.280150672376921,4.373060795276198,45.71355911066234,1.2594730854034424,44.470601081848145,45.73885130882263
liver,output_profiles,Minkowski,9.633207176004657,8.193807416117448,4.2435082158959005,44.05083518255529,1.2261927127838135,42.26583957672119,43.50073289871216
liver,knn,Sqeuclidean,9.833548626933538,8.580547131921376,4.2944372220500515,43.67128678540144,1.2768449783325195,35.23422932624817,36.51991128921509
liver,cluster,Sqeuclidean,9.580717677709625,8.044868985866817,4.069999050131461,42.48115002491586,1.2348170280456543,46.18590044975281,47.429975748062134
liver,output_profiles,Sqeuclidean,9.603428025525412,8.21752943833679,4.210235093377981,43.84096056311762,1.2738978862762451,41.03426194190979,42.31680917739868
