dataset,competence,distance,mean,median,std,duration
housing,cluster,Cityblock,0.191,0.155,0.0817,201.2077
housing,output_profiles,Cityblock,0.1861,0.155,0.0811,63.7263
housing,knn,Cosine,0.1821,0.1629,0.0787,57.0983
housing,cluster,Cosine,0.1882,0.1613,0.0797,75.2771
housing,output_profiles,Cosine,0.1822,0.169,0.0752,72.2774
housing,knn,Euclidean,0.189,0.1588,0.0787,55.2999
housing,cluster,Euclidean,0.189,0.1576,0.081,78.0471
housing,output_profiles,Euclidean,0.1901,0.1555,0.0828,68.2886
housing,knn,Minkowski,0.191,0.1595,0.0811,55.4849
housing,cluster,Minkowski,0.1919,0.1612,0.0791,73.9128
housing,output_profiles,Minkowski,0.1817,0.1621,0.0785,66.8759
housing,knn,Sqeuclidean,0.188,0.161,0.0823,51.0911
housing,cluster,Sqeuclidean,0.1904,0.1534,0.081,77.8058
housing,output_profiles,Sqeuclidean,0.188,0.1635,0.0769,69.4262
liver,knn,Braycurtis,9.5742,8.6558,4.1493,38.4452
liver,cluster,Braycurtis,9.6276,8.2636,4.2426,44.699
liver,output_profiles,Braycurtis,9.9014,8.5484,4.0563,41.9814
liver,knn,Canberra,9.6777,8.3232,4.1183,46.4291
liver,cluster,Canberra,9.6779,8.3683,4.2422,50.3884
liver,output_profiles,Canberra,10.0325,8.4995,4.3318,47.9523
liver,knn,Chebyshev,9.4748,8.143,4.1782,35.9849
liver,cluster,Chebyshev,9.5567,8.0947,4.0306,48.8728
liver,output_profiles,Chebyshev,9.6648,8.1896,4.316,43.3916
liver,knn,Cityblock,9.5798,8.4278,4.1677,36.1598
liver,cluster,Cityblock,9.5883,7.9449,4.2765,48.1917
liver,output_profiles,Cityblock,9.58,8.0452,4.3115,44.6176
liver,knn,Cosine,9.7426,8.5109,4.1818,39.8216
liver,cluster,Cosine,9.6697,8.254,4.1525,50.3924
liver,output_profiles,Cosine,9.7889,8.1518,4.1952,45.7301
liver,knn,Euclidean,9.8695,8.4527,4.0178,38.0449
liver,cluster,Euclidean,9.6585,8.2855,4.1412,49.6238
liver,output_profiles,Euclidean,9.6342,8.1798,4.4304,44.5863
liver,knn,Minkowski,9.6611,8.4807,4.2374,35.7708
liver,cluster,Minkowski,9.5885,8.2693,4.0441,46.2365
liver,output_profiles,Minkowski,9.301,7.9437,4.3375,46.2457
liver,knn,Sqeuclidean,9.9078,8.6484,4.1142,35.7613
liver,cluster,Sqeuclidean,9.7338,8.1624,4.3497,47.5839
liver,output_profiles,Sqeuclidean,9.7848,8.3934,4.3941,44.4976
real_estate,knn,Braycurtis,36.148,19.4218,38.366,60.9212
real_estate,cluster,Braycurtis,36.9012,20.6899,39.2088,80.4699
real_estate,output_profiles,Braycurtis,37.9956,24.1572,36.8847,75.9128
real_estate,knn,Canberra,37.9922,30.3542,36.6051,74.6958
real_estate,cluster,Canberra,37.0661,18.8727,37.8632,86.1107
real_estate,output_profiles,Canberra,37.0398,25.1172,36.8678,78.2531
real_estate,knn,Chebyshev,35.8356,19.1106,36.7444,55.9312
real_estate,cluster,Chebyshev,36.3108,20.3602,36.8484,85.1207
real_estate,output_profiles,Chebyshev,35.8541,19.544,36.8946,83.5575
real_estate,knn,Cityblock,35.7907,18.6443,37.541,58.858
real_estate,cluster,Cityblock,37.4427,19.7859,38.524,88.3156
real_estate,output_profiles,Cityblock,36.282,18.0609,38.5606,79.7361
real_estate,knn,Cosine,36.0691,18.0628,39.2624,66.2979
real_estate,cluster,Cosine,36.6695,21.5989,38.6947,83.1919
real_estate,output_profiles,Cosine,37.5379,19.3697,38.9597,81.0202
real_estate,knn,Euclidean,35.9249,18.5625,36.6064,57.8181
real_estate,cluster,Euclidean,37.017,20.1192,38.7408,85.2877
real_estate,output_profiles,Euclidean,36.543,19.0798,37.6673,74.9717
real_estate,knn,Minkowski,36.6145,19.5452,39.4688,57.0056
real_estate,cluster,Minkowski,36.1448,20.7439,37.6309,81.3109
real_estate,output_profiles,Minkowski,36.1508,17.5936,38.8021,73.1022
real_estate,knn,Sqeuclidean,36.0481,17.4872,38.6317,59.0957
real_estate,cluster,Sqeuclidean,36.6799,22.1127,37.7938,83.0519
real_estate,output_profiles,Sqeuclidean,37.0192,18.0868,40.8046,72.3504
stock,knn,Braycurtis,1.852,0.6502,2.8836,144.0344
stock,cluster,Braycurtis,1.9354,0.7843,2.9812,214.1028
stock,output_profiles,Braycurtis,2.1433,0.9361,3.3243,168.301
stock,knn,Canberra,1.8564,0.6485,2.9523,195.6122
stock,cluster,Canberra,2.0287,0.8633,3.1179,218.5816
stock,output_profiles,Canberra,2.1232,0.8514,3.2803,186.9546
stock,knn,Chebyshev,1.8125,0.671,2.8261,121.0409
stock,cluster,Chebyshev,1.9247,0.8463,2.8877,226.381
stock,output_profiles,Chebyshev,2.082,0.8418,3.1995,184.3414
stock,knn,Cityblock,1.8763,0.6755,2.954,120.3626
stock,cluster,Cityblock,1.8988,0.7558,2.8727,208.8679
stock,output_profiles,Cityblock,2.0624,0.7833,3.1467,169.0455
stock,knn,Cosine,1.7486,0.5827,2.7625,153.1809
stock,cluster,Cosine,1.8113,0.7351,2.8804,213.363
stock,output_profiles,Cosine,2.0053,0.7501,3.121,189.7854
stock,knn,Euclidean,1.8312,0.6519,2.853,130.4447
stock,cluster,Euclidean,1.9388,0.8049,2.8878,212.7595
stock,output_profiles,Euclidean,2.0622,0.7842,3.2001,170.3259
stock,knn,Minkowski,1.8948,0.6955,3.0531,127.5602
stock,cluster,Minkowski,1.9186,0.8226,2.7779,217.5777
stock,output_profiles,Minkowski,2.1131,0.8698,3.2664,172.1823
stock,knn,Sqeuclidean,1.8526,0.682,2.9536,126.6223
stock,cluster,Sqeuclidean,1.8598,0.7047,2.7808,210.5985
stock,output_profiles,Sqeuclidean,2.0181,0.7495,3.2568,155.2182
student_marks,knn,Braycurtis,1.9803,1.4205,1.5616,11.0654
student_marks,cluster,Braycurtis,2.0215,1.4551,1.6093,8.9611
student_marks,output_profiles,Braycurtis,2.2429,1.5894,1.693,10.1182
student_marks,knn,Canberra,2.0437,1.5473,1.4697,10.2772
student_marks,cluster,Canberra,1.9657,1.3511,1.6117,9.0593
student_marks,output_profiles,Canberra,2.3202,1.7354,1.5847,10.2213
student_marks,knn,Chebyshev,1.9184,1.2228,1.6312,9.9125
student_marks,cluster,Chebyshev,2.0104,1.4732,1.4851,8.8656
student_marks,output_profiles,Chebyshev,2.2602,1.6246,1.6838,10.0036
student_marks,knn,Cityblock,1.8546,1.3577,1.3613,9.9505
student_marks,cluster,Cityblock,2.0266,1.5165,1.4809,8.9219
student_marks,output_profiles,Cityblock,2.2245,1.608,1.6032,10.0361
student_marks,knn,Cosine,2.9757,2.4675,1.7343,10.1068
student_marks,cluster,Cosine,2.1489,1.7554,1.6847,9.0906
student_marks,output_profiles,Cosine,2.7374,2.1542,1.522,10.167
student_marks,knn,Euclidean,1.9255,1.3096,1.4657,10.0024
student_marks,cluster,Euclidean,2.0173,1.5245,1.6315,9.2565
student_marks,output_profiles,Euclidean,2.2877,1.7275,1.7121,10.1979
student_marks,knn,Minkowski,1.9104,1.3554,1.5302,10.0141
student_marks,cluster,Minkowski,1.9623,1.3464,1.5457,9.234
student_marks,output_profiles,Minkowski,2.2149,1.5185,1.6661,10.2652
student_marks,knn,Sqeuclidean,1.8827,1.2811,1.5649,9.9813
student_marks,cluster,Sqeuclidean,2.0792,1.515,1.5627,9.3354
student_marks,output_profiles,Sqeuclidean,2.0113,1.3563,1.6138,10.4647
triazines,knn,Braycurtis,0.0155,0.014,0.0093,18.2919
triazines,cluster,Braycurtis,0.0152,0.013,0.0081,20.5038
triazines,output_profiles,Braycurtis,0.0162,0.0141,0.0101,23.2614
triazines,knn,Canberra,0.0152,0.0129,0.0087,19.1962
triazines,cluster,Canberra,0.016,0.0126,0.0095,22.4063
triazines,output_profiles,Canberra,0.0165,0.0137,0.0105,24.488
triazines,knn,Chebyshev,0.0154,0.0135,0.0088,18.2719
triazines,cluster,Chebyshev,0.0155,0.0136,0.0081,19.8391
triazines,output_profiles,Chebyshev,0.0151,0.0135,0.0076,22.8322
