dataset,competence,distance,mean,median,std,cv,fit_time,predict_time,duration
housing,knn,Braycurtis,4910745975.065296,4886634516.581678,1357506037.6518724,27.643580925275252,1.3226494789123535,53.317771911621094,54.649622201919556
housing,cluster,Braycurtis,4817811988.257013,4874795629.605631,1330951097.8830247,27.625633817324115,1.3592529296875,71.65395331382751,73.0219395160675
housing,output_profiles,Braycurtis,4916730386.7059765,4999181674.009041,1418078545.6787252,28.841901714053193,1.3267533779144287,65.27493381500244,66.61104416847229
housing,knn,Canberra,4899234799.685216,4704881478.010214,1399295043.3626447,28.5615019605215,1.330136775970459,64.48980903625488,65.82883834838867
housing,cluster,Canberra,4807395608.239749,4944150644.947727,1337135591.7153838,27.814136815026597,1.355970859527588,70.42743372917175,71.79220509529114
housing,output_profiles,Canberra,5000660056.437239,5141821048.718698,1312346164.9374657,26.243458865957336,1.3066825866699219,68.93155765533447,70.2471935749054
housing,knn,Chebyshev,4837052288.206943,4802449817.1004925,1382844540.9070704,28.58857954210125,1.3474254608154297,48.50098776817322,49.85753417015076
housing,cluster,Chebyshev,4882782132.556616,4902995846.537426,1317689423.915442,26.986447237315137,1.352644920349121,72.22894358634949,73.59070825576782
housing,output_profiles,Chebyshev,4884103164.953937,4996604338.51763,1296191157.265967,26.538979900482744,1.4384715557098389,67.63141989707947,69.0795681476593
housing,knn,Cityblock,4875237651.088696,4825645671.266535,1317855486.3602695,27.031615290917717,1.5268752574920654,55.131920337677,56.66880393028259
housing,cluster,Cityblock,4825160133.884854,4841875056.411819,1382345087.691231,28.648688319868697,1.501253366470337,78.66571927070618,80.17801904678345
housing,output_profiles,Cityblock,4887077382.551512,4932139427.545633,1245883512.5602152,25.493427155633608,1.4667401313781738,71.72053718566895,73.19783806800842
housing,knn,Cosine,4841845274.418985,4985721841.592287,1337312221.6924703,27.61988758207367,1.5515260696411133,60.60374569892883,62.16618800163269
housing,cluster,Cosine,4847282102.91525,5017955417.607168,1276872668.6969285,26.34203336193271,1.5682475566864014,83.93150472640991,85.51006436347961
housing,output_profiles,Cosine,5029932418.481283,5157492608.1353245,1315892640.9184432,26.16123898769515,1.5269324779510498,80.12354159355164,81.66079258918762
housing,knn,Euclidean,4870541248.637165,4891482190.602546,1339226016.7507763,27.49645159304436,1.362441062927246,53.21245813369751,54.58436369895935
housing,cluster,Euclidean,4857875124.008812,4956800891.80912,1274481992.1859176,26.23537986571772,1.4070069789886475,74.76449036598206,76.18125987052917
housing,output_profiles,Euclidean,4959407409.041569,5024066636.117157,1382701975.9470732,27.88038694756654,1.3673272132873535,68.88738703727722,70.26482152938843
housing,knn,Minkowski,4866335911.650664,4742276709.678097,1406662178.6113484,28.905981916365647,1.3763647079467773,52.362080097198486,53.74797081947327
housing,cluster,Minkowski,4746264870.651171,4798300967.359085,1347238011.4649162,28.38522602890639,1.4085628986358643,75.70312142372131,77.12141752243042
housing,output_profiles,Minkowski,4947159608.898139,4981320250.175214,1442172938.1460218,29.15153445933052,1.3243317604064941,67.32087063789368,68.65455794334412
housing,knn,Sqeuclidean,4973850188.719884,5055619209.480873,1422152580.291126,28.592589771127475,1.4191770553588867,51.27950191497803,52.708205223083496
housing,cluster,Sqeuclidean,4826533562.796995,4928178968.342316,1349681204.2392654,27.96377952579946,1.471179723739624,78.34292793273926,79.8239996433258
housing,output_profiles,Sqeuclidean,4905463105.51802,5082585001.911766,1357921268.3354347,27.68181594940438,1.4287657737731934,70.06632161140442,71.50608682632446
