dataset,competence,distance,mean,median,std,cv,fit_time,predict_time,duration
real_estate,knn,Braycurtis,16.388463246971785,11.340452018284465,11.638237233724322,71.01481730372005,2.25150728225708,58.46526861190796,60.72696113586426
real_estate,cluster,Braycurtis,17.257852390416044,11.302533782651786,13.52969634067979,78.39733493255137,2.2923216819763184,82.65706396102905,84.96010112762451
real_estate,output_profiles,Braycurtis,17.274048503000465,12.969303621558613,12.404888542960162,71.81228268987122,2.310394287109375,76.37108874320984,78.6919219493866
real_estate,knn,Canberra,15.911064354232327,13.10068153326014,10.234160316388282,64.32102899304788,2.2489349842071533,71.74068212509155,74.00049328804016
real_estate,cluster,Canberra,16.799530255576443,12.37539452005387,11.739881022902395,69.88219815851967,2.308011531829834,83.48245620727539,85.80128264427185
real_estate,output_profiles,Canberra,16.894932853266663,12.555224415912189,10.944492887008469,64.77973592474109,2.1689743995666504,77.52366280555725,79.70367288589478
real_estate,knn,Chebyshev,17.714466036901534,13.122352164046925,12.885938107669908,72.74245851287205,2.1685900688171387,52.13763093948364,54.316625356674194
real_estate,cluster,Chebyshev,16.03314840786988,11.847618731715695,10.90941096219466,68.0428490067476,2.126209259033203,75.92347383499146,78.059818983078
real_estate,output_profiles,Chebyshev,18.704057632574113,15.355421656228163,12.568684944363126,67.19763802734488,2.067375898361206,68.64582085609436,70.7234673500061
real_estate,knn,Cityblock,16.786687646705573,11.758036152329973,11.832269955810863,70.4860315795116,2.107814073562622,52.583744049072266,54.70144867897034
real_estate,cluster,Cityblock,17.7332977511111,12.373987843957043,14.351931405977847,80.93210641026208,2.1524529457092285,76.91477632522583,79.07719135284424
real_estate,output_profiles,Cityblock,16.952559767937284,12.670188981131057,11.262883537443557,66.43765715396724,2.0078964233398438,68.75529527664185,70.77318811416626
real_estate,knn,Cosine,16.779741935288207,11.138358464128585,14.116851820230002,84.13032735945669,2.0881545543670654,59.29900550842285,61.397096157073975
real_estate,cluster,Cosine,17.132019533741676,11.321189884620807,13.148199787634812,76.74635066659425,2.126513957977295,76.96428799629211,79.10055494308472
real_estate,output_profiles,Cosine,17.014885168621642,11.797150775325534,13.266098378867664,77.96760452625692,2.0782711505889893,72.18644618988037,74.27440905570984
real_estate,knn,Euclidean,16.868143829789393,11.998109635140622,12.243990526071919,72.58647216683588,2.145247459411621,54.498101472854614,56.65371370315552
real_estate,cluster,Euclidean,16.4131620208016,13.484805293425538,11.255675669274897,68.57713129870866,2.0819973945617676,77.29743838310242,79.38941764831543
real_estate,output_profiles,Euclidean,17.636415290608795,11.641131058027714,13.200441821928983,74.84764678317639,2.062563419342041,70.44985222816467,72.52283024787903
real_estate,knn,Minkowski,17.047420729566507,13.136524377693586,12.379799875361654,72.61978261550452,2.066272258758545,54.78404092788696,56.86056327819824
real_estate,cluster,Minkowski,16.857111466754407,12.391035480559152,11.632185895524216,69.00462109694897,2.2080729007720947,78.53007912635803,80.74801921844482
real_estate,output_profiles,Minkowski,17.110350481444932,10.394505167191102,12.883599140371562,75.29710834586932,2.1750900745391846,73.55808973312378,75.74367475509644
real_estate,knn,Sqeuclidean,16.654633849322806,10.940205308455464,12.181825837121954,73.14376255481162,2.234229803085327,53.45724415779114,55.701868295669556
real_estate,cluster,Sqeuclidean,17.016113924524785,12.563056009075506,12.284631500191727,72.19410703689681,2.2415339946746826,79.90819263458252,82.15989255905151
real_estate,output_profiles,Sqeuclidean,17.016318232344183,12.882572707275926,12.821343688808096,75.34734314287573,2.276224136352539,73.28689408302307,75.57421135902405
