,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,0.0156625,0.0131875,0.009116666666666667,21.1084
std,0.00043620148914284406,0.00046467613780296296,0.0006696310903037951,1.8779016937274295
min,0.0149,0.0125,0.0076,18.2719
25%,0.0152,0.012875000000000001,0.0088,19.678375
50%,0.015649999999999997,0.01315,0.00915,20.7618
75%,0.0161,0.0135,0.0095,22.856525
max,0.0165,0.0141,0.0105,24.488
