,mean,median,std,duration
mean,1.0,0.3729681892597121,0.820908830839523,0.4287590768224474
median,0.3729681892597121,1.0,0.19631907896560474,0.053327399637322456
std,0.820908830839523,0.19631907896560474,1.0,0.4347852507002174
duration,0.4287590768224474,0.053327399637322456,0.4347852507002174,1.0
