,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,36.62822916666667,20.27005,38.08215833333333,74.26611666666666
std,0.6580003267338737,2.862074338657191,1.0972442801684223,10.676875786673646
min,35.7907,17.4872,36.6051,55.9312
25%,36.12587499999999,18.62385,36.892125,64.95372499999999
50%,36.57875,19.4829,38.114599999999996,77.08295000000001
75%,37.02435,20.703400000000002,38.756125,83.0869
max,37.9956,30.3542,40.8046,88.3156
