,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,1.0330708333333334,0.8226541666666666,0.8910833333333333,37.5248875
std,0.24208604377489362,0.08431434959187818,0.6079406483235498,3.821432189787136
min,0.8757,0.6797,0.5938,30.8764
25%,0.89395,0.76725,0.631175,34.646325000000004
50%,0.9677,0.80495,0.68865,37.93785
75%,1.058525,0.8959,0.7920499999999999,40.003299999999996
max,2.0213,0.9677,3.3806,44.6423
