,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,4319984.620858333,3733898.2495583333,2291822.4967291667,365.17847916666665
std,866140.4072974331,388634.8362557839,2244686.463340646,92.33103114902227
min,2699212.4667,2786872.5439,527463.46,203.3743
25%,3680850.295275,3504119.6517,896975.903975,300.4874
50%,4443428.143449999,3848022.5568,1785447.44495,359.20975
75%,4671936.2546999995,3978470.503325,2447307.19365,461.4365
max,6436217.7181,4309523.7348,9792964.4181,473.6145
