,mean,median,std,duration
mean,1.0,0.5775382076326522,0.974409359818826,-0.2692866967089648
median,0.5775382076326522,1.0,0.44735588403801946,-0.27000353848457165
std,0.974409359818826,0.44735588403801946,1.0,-0.20113707817834836
duration,-0.2692866967089648,-0.27000353848457165,-0.20113707817834836,1.0
