,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,1.033125,0.8226958333333334,0.8911333333333333,37.5249375
std,0.24208072000884337,0.08431488846382156,0.6079245710266785,3.8214174046689173
min,0.8758,0.6797,0.5938,30.8764
25%,0.89405,0.76735,0.6312,34.646425
50%,0.96775,0.8049999999999999,0.6887,37.93795
75%,1.058625,0.8959,0.7921499999999999,40.003299999999996
max,2.0213,0.9678,3.3806,44.6423
