,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,0.34924166666666673,0.3473541666666667,0.0356125,3660.491679166666
std,0.0027593188615508283,0.00459290371037252,0.001200837570017368,1527.9643960596675
min,0.3452,0.3382,0.0333,1649.3185
25%,0.34815,0.3446,0.0346,2576.47865
50%,0.3489,0.34715,0.03555,3147.96475
75%,0.35005,0.35097500000000004,0.036425,4798.573775
max,0.3593,0.3543,0.0387,7134.2508
