,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,0.0157125,0.013220833333333334,0.009154166666666666,21.108441666666668
std,0.0004235589379449376,0.0004652994983754074,0.0006646209555022723,1.8779213107829502
min,0.015,0.0125,0.0077,18.2719
25%,0.0153,0.012875000000000001,0.0088,19.678475000000002
50%,0.01575,0.0132,0.00915,20.7618
75%,0.0161,0.013524999999999999,0.009524999999999999,22.856625
max,0.0165,0.0141,0.0105,24.4881
