,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,4319984.620904166,3733898.2496000007,2291822.496770833,365.1785083333334
std,866140.407306804,388634.83626673045,2244686.4633551794,92.33103336894074
min,2699212.4668,2786872.5439,527463.46,203.3743
25%,3680850.295275,3504119.651775,896975.90405,300.487475
50%,4443428.1435,3848022.55685,1785447.44495,359.20975
75%,4671936.254725,3978470.5034,2447307.1936749998,461.4365
max,6436217.7182,4309523.7348,9792964.4182,473.6145
