,mean,median,std,duration
mean,1.0,0.8224737797775679,0.2859913697948479,0.603157652837851
median,0.8224737797775679,1.0,0.09151819330271779,0.42944361360183075
std,0.2859913697948479,0.09151819330271779,1.0,0.5209418583316479
duration,0.603157652837851,0.42944361360183075,0.5209418583316479,1.0
