,mean,median,std,duration
count,24.0,24.0,24.0,24.0
mean,2.1259625,1.5506000000000002,1.58375,9.812891666666667
std,0.2648886063046125,0.27911028052662656,0.09124468775484006,0.5760621682307098
min,1.8547,1.2229,1.3613,8.8656
25%,1.964925,1.35615,1.528225,9.25095
50%,2.02405,1.5158,1.59395,10.00305
75%,2.2292,1.61225,1.64025,10.1748
max,2.9757,2.4676,1.7344,11.0654
